"DOMAIN","COMPANY_NAME","COMPANY_INDUSTRY","COMPANY_REVENUE","COMPANY_SIZE","JOURNEY_STAGE","TOTAL_VISITS","TOTAL_VISITORS","PURCHASE_SCORE","PREDICTED_ACCOUNT_VALUE","SCORE_TIER"
"nova-group.com","Nova Group","Financial Services","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged",106,5,0.512,361,"HOT"
"atlas-works.com","Atlas Works","Marketing and Advertising","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",5,1,0.060,252,"COLD"
"nova-systems.com","Nova Systems","Telecommunications","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",5,1,0.060,139,"COLD"
"prime-labs.com","Prime Labs","Construction","Medium-Small ($10MM-$50MM)","Medium (200-499)","Engaged",60,16,0.420,186,"WARM"
"iron-group.com","Iron Group","Marketing and Advertising","Medium-Large ($50MM-$100MM)","Medium (200-499)","Engaged",21,17,0.342,237,"WARM"
"clear-group.com","Clear Group","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","MQL",119,28,0.688,406,"HOT"
"global-media.com","Global Media","Hospital & Health Care","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware",4,2,0.158,79,"COLD"
"bright-group.com","Bright Group","Food & Beverages","Large ($100MM-$200MM)","Large (1,000-4,999)","MQL",99,25,0.648,437,"HOT"
"stellar-cloud.com","Stellar Cloud","Retail","Micro ($0-$1MM)","Micro (1-9)","Aware",20,2,0.290,103,"COLD"
"smart-net.com","Smart Net","Insurance","Large ($100MM-$200MM)","Medium-Large (500-999)","Engaged",51,15,0.402,162,"WARM"
"acme-media.com","Acme Media","Entertainment","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Aware",11,3,0.172,643,"COLD"
"peak-solutions.com","Peak Solutions","Financial Services","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware",4,1,0.058,108,"COLD"
"nexus-hub.com","Nexus Hub","Management Consulting","Large ($100MM-$200MM)","Large (1,000-4,999)","Engaged",90,7,0.480,274,"WARM"
"vertex-labs.com","Vertex Labs","Legal Services","Small ($1MM-$10MM)","Small (10-49)","Engaged",68,9,0.436,344,"WARM"
"bright-digital.com","Bright Digital","Hospital & Health Care","Medium-Large ($50MM-$100MM)","Medium (200-499)","Aware",6,2,0.162,136,"COLD"
"nova-cloud.com","Nova Cloud","Construction","Micro ($0-$1MM)","Micro (1-9)","Aware",5,3,0.160,78,"COLD"
"clear-io.com","Clear Io","E-Learning","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",2,1,0.054,202,"COLD"
"acme-inc.com","Acme Inc","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Unaware",1,1,0.152,238,"COLD"
"acme-cloud.com","Acme Cloud","Food & Beverages","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware",2,1,0.054,195,"COLD"
"acme-corp.com","Acme Corp","Retail","Medium-Large ($50MM-$100MM)","Medium (200-499)","Engaged",19,16,0.438,125,"WARM"
"swift-inc.com","Swift Inc","Education Management","Micro ($0-$1MM)","Micro (1-9)","Unaware",1,1,0.052,162,"COLD"
"green-systems.com","Green Systems","Entertainment","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",2,1,0.054,214,"COLD"
"blue-systems.com","Blue Systems","E-Learning","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",4,1,0.058,144,"COLD"
"peak-data.com","Peak Data","Software / Information Technology","Large ($100MM-$200MM)","Large (1,000-4,999)","Engaged",37,12,0.474,208,"WARM"
"swift-cloud.com","Swift Cloud","Entertainment","Medium-Small ($10MM-$50MM)","Medium (200-499)","Aware",6,6,0.162,258,"COLD"
"prime-group.com","Prime Group","Logistics and Supply Chain","Large ($100MM-$200MM)","Large (1,000-4,999)","MQL",78,17,0.606,282,"HOT"
"swift-media.com","Swift Media","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Unaware",5,1,0.160,130,"COLD"
"stellar-net.com","Stellar Net","Real Estate","Micro ($0-$1MM)","Micro (1-9)","Unaware",5,1,0.060,89,"COLD"
"swift-net.com","Swift Net","Insurance","Small ($1MM-$10MM)","Small (10-49)","Engaged",107,16,0.514,438,"HOT"
"clear-labs.com","Clear Labs","Food & Beverages","Micro ($0-$1MM)","Micro (1-9)","Unaware",2,1,0.054,237,"COLD"
"global-inc.com","Global Inc","Education Management","Medium-Small ($10MM-$50MM)","Medium (200-499)","MQL",123,25,0.696,389,"HOT"
"blue-cloud.com","Blue Cloud","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",3,1,0.056,69,"COLD"
"iron-group.com","Iron Group","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","MQL",76,6,0.702,347,"HOT"
"prime-group.com","Prime Group","Manufacturing","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Aware",12,3,0.174,650,"COLD"
"stellar-solutions.com","Stellar Solutions","Legal Services","Small ($1MM-$10MM)","Small (10-49)","Aware",4,4,0.158,250,"COLD"
"swift-media.com","Swift Media","Retail","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",2,1,0.154,124,"COLD"
"nexus-solutions.com","Nexus Solutions","Food & Beverages","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware",4,1,0.058,147,"COLD"
"bright-tech.com","Bright Tech","Software / Information Technology","XLarge ($200MM-$1B)","Large (1,000-4,999)","Engaged",99,10,0.598,873,"WARM"
"core-net.com","Core Net","Legal Services","Medium-Small ($10MM-$50MM)","Medium (200-499)","Engaged",103,17,0.506,292,"HOT"
"rapid-corp.com","Rapid Corp","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium (200-499)","Engaged",88,6,0.576,393,"WARM"
"blue-works.com","Blue Works","Logistics and Supply Chain","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",2,1,0.054,183,"COLD"
"swift-systems.com","Swift Systems","Hospital & Health Care","XXLarge ($1B+)","XXLarge (10,000+)","Aware",18,5,0.186,783,"COLD"
"apex-works.com","Apex Works","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged",91,9,0.582,264,"WARM"
"cyber-corp.com","Cyber Corp","Retail","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",1,1,0.152,145,"COLD"
"bright-media.com","Bright Media","Marketing and Advertising","Micro ($0-$1MM)","Micro (1-9)","Unaware",2,1,0.054,206,"COLD"
"rapid-tech.com","Rapid Tech","Food & Beverages","Small ($1MM-$10MM)","Small (10-49)","Unaware",1,1,0.052,149,"COLD"
"swift-data.com","Swift Data","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware",2,1,0.154,223,"COLD"
"prime-io.com","Prime Io","Marketing and Advertising","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware",15,6,0.180,132,"COLD"
"core-works.com","Core Works","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Opportunity",207,37,0.850,517,"HOT"
"peak-corp.com","Peak Corp","Real Estate","Large ($100MM-$200MM)","Medium-Large (500-999)","Engaged",35,13,0.370,234,"WARM"
"peak-cloud.com","Peak Cloud","Food & Beverages","Micro ($0-$1MM)","Micro (1-9)","Unaware",5,1,0.060,81,"COLD"
"vertex-hub.com","Vertex Hub","Management Consulting","Micro ($0-$1MM)","Small (10-49)","Aware",21,6,0.192,162,"COLD"
"cyber-media.com","Cyber Media","Insurance","Small ($1MM-$10MM)","Medium-Small (50-199)","MQL",222,18,0.750,634,"HOT"
"green-cloud.com","Green Cloud","Real Estate","Medium-Small ($10MM-$50MM)","Medium (200-499)","Opportunity",304,36,0.750,787,"HOT"
"atlas-works.com","Atlas Works","Construction","Small ($1MM-$10MM)","Small (10-49)","Engaged",38,8,0.376,318,"WARM"
"bright-solutions.com","Bright Solutions","Retail","Micro ($0-$1MM)","Micro (1-9)","Aware",16,1,0.282,217,"COLD"
"smart-systems.com","Smart Systems","Automotive","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","MQL",79,14,0.608,276,"HOT"
"rapid-corp.com","Rapid Corp","Financial Services","Large ($100MM-$200MM)","Medium-Large (500-999)","Unaware",3,1,0.056,223,"COLD"
"global-inc.com","Global Inc","Food & Beverages","Small ($1MM-$10MM)","Small (10-49)","Opportunity",133,46,0.716,409,"HOT"
"cyber-inc.com","Cyber Inc","Retail","Micro ($0-$1MM)","Micro (1-9)","Engaged",96,7,0.592,369,"WARM"
"rapid-hub.com","Rapid Hub","Marketing and Advertising","Micro ($0-$1MM)","Micro (1-9)","Opportunity",373,39,0.750,986,"HOT"
"nexus-tech.com","Nexus Tech","Telecommunications","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",2,1,0.054,237,"COLD"
"apex-cloud.com","Apex Cloud","Logistics and Supply Chain","Small ($1MM-$10MM)","Small (10-49)","Unaware",3,1,0.056,143,"COLD"
"clear-hub.com","Clear Hub","Food & Beverages","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Unaware",3,1,0.056,614,"COLD"
"cyber-works.com","Cyber Works","Entertainment","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Unaware",5,1,0.060,759,"COLD"
"global-cloud.com","Global Cloud","Real Estate","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware",3,1,0.056,97,"COLD"
"global-works.com","Global Works","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium (200-499)","Opportunity",184,40,0.850,491,"HOT"
"cyber-works.com","Cyber Works","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware",3,1,0.156,255,"COLD"
"stellar-net.com","Stellar Net","E-Learning","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware",20,4,0.190,119,"COLD"
"clear-systems.com","Clear Systems","Software / Information Technology","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware",3,1,0.156,232,"COLD"
"acme-corp.com","Acme Corp","E-Learning","Medium-Large ($50MM-$100MM)","Medium (200-499)","MQL",219,8,0.750,525,"HOT"
"bright-digital.com","Bright Digital","Marketing and Advertising","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware",2,1,0.054,128,"COLD"
"nova-labs.com","Nova Labs","Automotive","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Unaware",2,1,0.054,611,"COLD"
"core-inc.com","Core Inc","Manufacturing","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware",17,3,0.184,194,"COLD"
"nexus-group.com","Nexus Group","E-Learning","Large ($100MM-$200MM)","Medium-Large (500-999)","Engaged",96,9,0.492,303,"WARM"
"acme-media.com","Acme Media","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware",21,3,0.192,163,"COLD"
"clear-io.com","Clear Io","Logistics and Supply Chain","Small ($1MM-$10MM)","Small (10-49)","Unaware",3,1,0.056,204,"COLD"
"acme-media.com","Acme Media","Education Management","Small ($1MM-$10MM)","Small (10-49)","Unaware",3,1,0.056,127,"COLD"
"peak-group.com","Peak Group","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium (200-499)","Aware",20,6,0.290,166,"COLD"
"stellar-io.com","Stellar Io","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",2,1,0.054,194,"COLD"
"apex-data.com","Apex Data","Retail","XXLarge ($1B+)","XXLarge (10,000+)","Engaged",57,5,0.514,777,"WARM"
"swift-io.com","Swift Io","Logistics and Supply Chain","Small ($1MM-$10MM)","Small (10-49)","Unaware",1,1,0.052,88,"COLD"
"cyber-inc.com","Cyber Inc","Legal Services","Small ($1MM-$10MM)","Medium-Small (50-199)","MQL",211,6,0.750,599,"HOT"
"core-group.com","Core Group","E-Learning","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware",7,5,0.164,130,"COLD"
"acme-labs.com","Acme Labs","Entertainment","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",3,1,0.056,98,"COLD"
"apex-labs.com","Apex Labs","Management Consulting","Micro ($0-$1MM)","Micro (1-9)","Engaged",45,12,0.390,144,"WARM"
"cyber-inc.com","Cyber Inc","Software / Information Technology","Small ($1MM-$10MM)","Small (10-49)","Unaware",4,1,0.158,185,"COLD"
"smart-corp.com","Smart Corp","Entertainment","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged",60,14,0.420,214,"WARM"
"global-net.com","Global Net","E-Learning","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",5,1,0.060,130,"COLD"
"rapid-media.com","Rapid Media","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Aware",16,5,0.282,96,"COLD"
"cyber-systems.com","Cyber Systems","Software / Information Technology","Large ($100MM-$200MM)","Medium-Large (500-999)","Unaware",3,1,0.156,176,"COLD"
"apex-media.com","Apex Media","Marketing and Advertising","Micro ($0-$1MM)","Micro (1-9)","Aware",4,4,0.158,182,"COLD"
"prime-data.com","Prime Data","E-Learning","Small ($1MM-$10MM)","Medium-Small (50-199)","Aware",4,3,0.158,257,"COLD"
"nexus-group.com","Nexus Group","Financial Services","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware",5,1,0.060,121,"COLD"
"peak-hub.com","Peak Hub","Consumer Goods","Micro ($0-$1MM)","Micro (1-9)","Unaware",5,1,0.060,229,"COLD"
"nova-media.com","Nova Media","Insurance","Small ($1MM-$10MM)","Small (10-49)","Aware",15,4,0.180,109,"COLD"
"clear-corp.com","Clear Corp","Financial Services","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware",19,2,0.188,283,"COLD"
"rapid-hub.com","Rapid Hub","Telecommunications","Micro ($0-$1MM)","Small (10-49)","Unaware",4,1,0.058,248,"COLD"
"nova-io.com","Nova Io","Software / Information Technology","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Aware",19,6,0.288,611,"COLD"
"core-group.com","Core Group","Financial Services","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",2,1,0.054,120,"COLD"
"prime-digital.com","Prime Digital","Management Consulting","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",2,1,0.054,220,"COLD"
"acme-corp.com","Acme Corp","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Unaware",4,1,0.158,95,"COLD"
"rapid-media.com","Rapid Media","Hospital & Health Care","Medium-Small ($10MM-$50MM)","Medium (200-499)","Engaged",40,15,0.380,144,"WARM"
"global-systems.com","Global Systems","Hospital & Health Care","XXLarge ($1B+)","XXLarge (10,000+)","Engaged",51,16,0.402,829,"WARM"
"clear-systems.com","Clear Systems","Health, Wellness and Fitness","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Engaged",42,16,0.384,310,"WARM"
"green-media.com","Green Media","Hospital & Health Care","Micro ($0-$1MM)","Micro (1-9)","Unaware",3,1,0.056,158,"COLD"
"rapid-media.com","Rapid Media","Automotive","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware",1,1,0.052,66,"COLD"
"nexus-data.com","Nexus Data","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware",3,1,0.156,151,"COLD"
"swift-solutions.com","Swift Solutions","Software / Information Technology","Micro ($0-$1MM)","Small (10-49)","Unaware",1,1,0.152,145,"COLD"
"bright-labs.com","Bright Labs","Legal Services","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",3,1,0.056,120,"COLD"
"peak-works.com","Peak Works","Construction","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Engaged",45,14,0.390,216,"WARM"
"stellar-io.com","Stellar Io","Hospital & Health Care","Micro ($0-$1MM)","Small (10-49)","Unaware",5,1,0.060,200,"COLD"
"smart-corp.com","Smart Corp","Hospital & Health Care","Micro ($0-$1MM)","Micro (1-9)","MQL",95,17,0.640,284,"HOT"
"atlas-works.com","Atlas Works","Marketing and Advertising","XLarge ($200MM-$1B)","Large (1,000-4,999)","Unaware",3,1,0.056,748,"COLD"
"blue-solutions.com","Blue Solutions","E-Learning","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",2,1,0.054,219,"COLD"
"core-media.com","Core Media","Construction","Small ($1MM-$10MM)","Small (10-49)","Unaware",3,1,0.056,168,"COLD"
"smart-hub.com","Smart Hub","Marketing and Advertising","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Aware",14,4,0.178,148,"COLD"
"stellar-digital.com","Stellar Digital","Software / Information Technology","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware",2,1,0.154,111,"COLD"
"bright-corp.com","Bright Corp","Legal Services","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged",74,17,0.448,372,"WARM"
"prime-io.com","Prime Io","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware",8,2,0.166,118,"COLD"
"blue-cloud.com","Blue Cloud","Food & Beverages","XLarge ($200MM-$1B)","Large (1,000-4,999)","Aware",17,6,0.184,597,"COLD"
"vertex-systems.com","Vertex Systems","Legal Services","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",1,1,0.052,216,"COLD"
"cyber-hub.com","Cyber Hub","Legal Services","XLarge ($200MM-$1B)","Large (1,000-4,999)","MQL",46,14,0.542,691,"HOT"
"iron-io.com","Iron Io","Logistics and Supply Chain","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",5,1,0.060,118,"COLD"
"smart-net.com","Smart Net","Legal Services","Small ($1MM-$10MM)","Small (10-49)","Unaware",1,1,0.052,62,"COLD"
"bright-tech.com","Bright Tech","Retail","Medium-Small ($10MM-$50MM)","Medium (200-499)","MQL",71,22,0.692,317,"HOT"
"nova-io.com","Nova Io","Food & Beverages","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Engaged",89,16,0.478,251,"WARM"
"blue-corp.com","Blue Corp","Hospital & Health Care","Micro ($0-$1MM)","Small (10-49)","Unaware",4,1,0.058,58,"COLD"
"peak-cloud.com","Peak Cloud","Telecommunications","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Engaged",34,8,0.368,639,"WARM"
"core-cloud.com","Core Cloud","Marketing and Advertising","Micro ($0-$1MM)","Micro (1-9)","Aware",16,5,0.182,112,"COLD"
"peak-data.com","Peak Data","Food & Beverages","Micro ($0-$1MM)","Micro (1-9)","Unaware",3,1,0.056,140,"COLD"
"core-works.com","Core Works","Management Consulting","Medium-Small ($10MM-$50MM)","Medium (200-499)","Engaged",78,9,0.456,259,"WARM"
"atlas-group.com","Atlas Group","Insurance","Large ($100MM-$200MM)","Medium-Large (500-999)","MQL",63,28,0.576,209,"HOT"
"prime-inc.com","Prime Inc","Consumer Goods","Micro ($0-$1MM)","Micro (1-9)","Engaged",53,8,0.406,192,"WARM"
"acme-net.com","Acme Net","E-Learning","Small ($1MM-$10MM)","Small (10-49)","Aware",17,6,0.184,197,"COLD"
"prime-media.com","Prime Media","Consumer Goods","Micro ($0-$1MM)","Small (10-49)","Unaware",3,1,0.056,191,"COLD"
"nexus-labs.com","Nexus Labs","Legal Services","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware",8,5,0.166,166,"COLD"
"iron-net.com","Iron Net","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Aware",8,3,0.266,172,"COLD"
"clear-inc.com","Clear Inc","Food & Beverages","Medium-Large ($50MM-$100MM)","Medium (200-499)","MQL",74,28,0.598,385,"HOT"
"core-hub.com","Core Hub","Entertainment","Medium-Small ($10MM-$50MM)","Medium (200-499)","Opportunity",328,16,0.750,707,"HOT"
"blue-solutions.com","Blue Solutions","Management Consulting","Micro ($0-$1MM)","Micro (1-9)","Unaware",5,1,0.060,225,"COLD"
"clear-hub.com","Clear Hub","Construction","Medium-Small ($10MM-$50MM)","Medium (200-499)","Engaged",70,8,0.440,248,"WARM"
"iron-io.com","Iron Io","E-Learning","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Opportunity",475,15,0.750,1058,"HOT"
"core-works.com","Core Works","Food & Beverages","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",3,1,0.056,109,"COLD"
"iron-inc.com","Iron Inc","Automotive","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware",3,1,0.056,110,"COLD"
"swift-media.com","Swift Media","Manufacturing","Large ($100MM-$200MM)","Medium-Large (500-999)","Engaged",20,7,0.340,160,"WARM"
"nova-data.com","Nova Data","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Unaware",1,1,0.152,175,"COLD"
"blue-inc.com","Blue Inc","Software / Information Technology","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Opportunity",287,43,0.850,1209,"HOT"
"iron-inc.com","Iron Inc","Retail","Large ($100MM-$200MM)","Medium-Large (500-999)","MQL",116,25,0.782,336,"HOT"
"peak-labs.com","Peak Labs","Software / Information Technology","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",2,1,0.154,230,"COLD"
"bright-media.com","Bright Media","Insurance","Small ($1MM-$10MM)","Small (10-49)","Aware",19,2,0.188,240,"COLD"
"atlas-tech.com","Atlas Tech","Retail","Medium-Large ($50MM-$100MM)","Medium (200-499)","MQL",52,24,0.654,158,"HOT"
"green-inc.com","Green Inc","Software / Information Technology","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",4,1,0.158,74,"COLD"
"global-media.com","Global Media","Construction","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",3,1,0.056,77,"COLD"
"nova-io.com","Nova Io","Marketing and Advertising","Micro ($0-$1MM)","Small (10-49)","Unaware",2,1,0.054,77,"COLD"
"bright-data.com","Bright Data","Marketing and Advertising","Medium-Small ($10MM-$50MM)","Medium (200-499)","Unaware",3,1,0.056,130,"COLD"
"nova-works.com","Nova Works","Food & Beverages","Micro ($0-$1MM)","Micro (1-9)","Engaged",55,10,0.410,335,"WARM"
"smart-data.com","Smart Data","Construction","Micro ($0-$1MM)","Micro (1-9)","MQL",128,29,0.706,472,"HOT"
"clear-hub.com","Clear Hub","Health, Wellness and Fitness","Small ($1MM-$10MM)","Medium-Small (50-199)","MQL",65,8,0.580,238,"HOT"
"vertex-systems.com","Vertex Systems","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium (200-499)","Unaware",3,1,0.156,220,"COLD"
"global-systems.com","Global Systems","Telecommunications","Medium-Large ($50MM-$100MM)","Medium (200-499)","Aware",4,1,0.158,235,"COLD"
"smart-io.com","Smart Io","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Aware",6,5,0.262,105,"COLD"
"core-digital.com","Core Digital","Education Management","Small ($1MM-$10MM)","Medium-Small (50-199)","Engaged",54,8,0.408,249,"WARM"
"global-tech.com","Global Tech","Retail","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",1,1,0.152,225,"COLD"
"cyber-systems.com","Cyber Systems","Health, Wellness and Fitness","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",4,1,0.058,178,"COLD"
"cyber-inc.com","Cyber Inc","Marketing and Advertising","Micro ($0-$1MM)","Micro (1-9)","Unaware",3,1,0.056,183,"COLD"
"peak-net.com","Peak Net","Financial Services","XLarge ($200MM-$1B)","Large (1,000-4,999)","Aware",5,4,0.160,636,"COLD"
"stellar-net.com","Stellar Net","Health, Wellness and Fitness","Micro ($0-$1MM)","Micro (1-9)","Aware",17,1,0.184,113,"COLD"
"green-works.com","Green Works","Food & Beverages","Micro ($0-$1MM)","Micro (1-9)","Aware",3,2,0.156,222,"COLD"
"iron-systems.com","Iron Systems","Retail","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",1,1,0.152,174,"COLD"
"vertex-group.com","Vertex Group","Financial Services","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Aware",21,4,0.192,261,"COLD"
"global-media.com","Global Media","Real Estate","Small ($1MM-$10MM)","Small (10-49)","Unaware",2,1,0.054,75,"COLD"
"iron-labs.com","Iron Labs","Education Management","Micro ($0-$1MM)","Small (10-49)","Unaware",3,1,0.056,233,"COLD"
"core-group.com","Core Group","Retail","Small ($1MM-$10MM)","Small (10-49)","Opportunity",126,45,0.802,368,"HOT"
"peak-cloud.com","Peak Cloud","Retail","Large ($100MM-$200MM)","Medium-Large (500-999)","Unaware",4,1,0.158,79,"COLD"
"iron-hub.com","Iron Hub","Telecommunications","Micro ($0-$1MM)","Micro (1-9)","Unaware",5,1,0.060,143,"COLD"
"prime-inc.com","Prime Inc","Entertainment","Large ($100MM-$200MM)","Large (1,000-4,999)","Unaware",5,1,0.060,96,"COLD"
"global-digital.com","Global Digital","Health, Wellness and Fitness","Small ($1MM-$10MM)","Small (10-49)","Aware",17,6,0.184,215,"COLD"
"bright-labs.com","Bright Labs","Construction","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Aware",10,2,0.170,134,"COLD"
"global-systems.com","Global Systems","Software / Information Technology","Micro ($0-$1MM)","Micro (1-9)","Unaware",4,1,0.158,235,"COLD"
"green-works.com","Green Works","Software / Information Technology","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","MQL",163,10,0.850,542,"HOT"
"prime-group.com","Prime Group","Education Management","XLarge ($200MM-$1B)","Large (1,000-4,999)","Unaware",5,1,0.060,636,"COLD"
"nexus-data.com","Nexus Data","Marketing and Advertising","Large ($100MM-$200MM)","Large (1,000-4,999)","Aware",11,3,0.172,167,"COLD"
"nova-systems.com","Nova Systems","Consumer Goods","Medium-Small ($10MM-$50MM)","Medium (200-499)","Opportunity",495,43,0.750,1119,"HOT"
"bright-hub.com","Bright Hub","Telecommunications","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware",2,1,0.054,184,"COLD"
"cyber-systems.com","Cyber Systems","Education Management","Small ($1MM-$10MM)","Small (10-49)","Engaged",28,16,0.356,226,"WARM"
"acme-io.com","Acme Io","Construction","Micro ($0-$1MM)","Micro (1-9)","Opportunity",139,27,0.728,487,"HOT"
"swift-systems.com","Swift Systems","Real Estate","Small ($1MM-$10MM)","Small (10-49)","MQL",57,8,0.564,361,"HOT"
"vertex-digital.com","Vertex Digital","Automotive","Medium-Small ($10MM-$50MM)","Medium (200-499)","MQL",37,6,0.524,240,"HOT"
"smart-io.com","Smart Io","Hospital & Health Care","Small ($1MM-$10MM)","Small (10-49)","Unaware",3,1,0.056,99,"COLD"
"cyber-cloud.com","Cyber Cloud","Software / Information Technology","Micro ($0-$1MM)","Small (10-49)","Unaware",3,1,0.156,57,"COLD"
"prime-corp.com","Prime Corp","Retail","Small ($1MM-$10MM)","Medium-Small (50-199)","Unaware",3,1,0.156,116,"COLD"
"green-io.com","Green Io","Financial Services","Micro ($0-$1MM)","Small (10-49)","Aware",14,6,0.178,115,"COLD"
"green-io.com","Green Io","Manufacturing","Medium-Small ($10MM-$50MM)","Medium-Small (50-199)","Unaware",1,1,0.052,89,"COLD"
"peak-hub.com","Peak Hub","E-Learning","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Unaware",4,1,0.058,227,"COLD"
"clear-digital.com","Clear Digital","Construction","Small ($1MM-$10MM)","Medium-Small (50-199)","MQL",155,23,0.750,362,"HOT"
"clear-inc.com","Clear Inc","Entertainment","XLarge ($200MM-$1B)","XLarge (5,000-10,000)","Engaged",72,5,0.444,881,"WARM"
"atlas-net.com","Atlas Net","Logistics and Supply Chain","XLarge ($200MM-$1B)","Large (1,000-4,999)","Unaware",5,1,0.060,662,"COLD"
"bright-data.com","Bright Data","E-Learning","Medium-Large ($50MM-$100MM)","Medium-Large (500-999)","Opportunity",372,47,0.750,868,"HOT"
"bright-labs.com","Bright Labs","Marketing and Advertising","XXLarge ($1B+)","XXLarge (10,000+)","Aware",6,6,0.162,626,"COLD"
